Cluster ID,confidence_score,Id,duns,bp name,addr,postl
21,0.95348096,103,690540653,Mitsubishi Tanabe PharmaCorporation,"2-10 Dosho-machi 3-Chome,Chuo-ku, Osaka 541-8505, Japan",NULL

44,1.0,104,690553821,"Mitsubishi Chemical Analytech Co.,","7-10-1, Chuo-rinkan, Yamato,242-0007 Kanagawa",NULL

5,0.9534810142039382,105,690553821,Mitsubishi Chemical CooperationGohsenol Department,"1-1 Marunouchi 1-chome,Chiyoda-ku, Tokyo",1008251

15,0.9534814349258898,106,690553821,Mitsubishi Chemical Corporation,NULL,NULL

45,1.0,107,690553821,Mitsubishi Chemical Corporation,"Business Administration Section,Phosphor Unit,Electronics Sector,Information & """,100-8251

5,0.9534809606203098,108,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyodaku, Tokyo 100-8251, Japan",100-8251

5,0.9534808605927952,109,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,1008251 Tokyo",1008251

5,0.953480979058076,110,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,JP-Tokyo 100-8251",NULL

5,0.953481033598577,111,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251

5,0.953481033598577,112,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",100-8251

5,0.9534806547237457,113,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome,JP-Tokyo 100-8251",NULL

5,0.9534810255389443,114,690553821,Mitsubishi Chemical Corporation,"1-1,  Marunouchi 1-chome, Chiyoda-ku, TOKYO  100-8251, Japan",NULL

5,0.9534810255389443,115,690553821,Mitsubishi Chemical Corporation,"1-1, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO 100-8251, JAPAN",NULL

5,0.9534809116369783,116,690553821,Mitsubishi Chemical Corporation,"1-1, MARUNOUCHI 1-CHOME, CHIYODA-KU, TOKYO JAPAN",NULL

5,0.9534808835203485,117,690553821,Mitsubishi Chemical Corporation,"1-1, Marunouchi 1-Chome, Chiyoda-ku,JP-100-8251 Tokyo",NULL

5,0.9534810257229542,118,690553821,Mitsubishi Chemical Corporation,"1-1, Marunouchi 1-Chome, Chiyoda-ku,Tokyo 100-8251",NULL

5,0.9534809484020735,119,690553821,Mitsubishi Chemical Corporation,"1-1,Marunouchi 1-CHOME,Chiyoda-ku ,Tokyo 100-8251,JAPAN",NULL

6,0.9534814,120,690553821,Mitsubishi Chemical Corporation,1-1，Marunouchi 1-chome，Chiyoda-ku，Tokyo,1008251

5,0.9534809938156548,121,690553821,Mitsubishi Chemical Corporation,"1-1,Marunouchi 1-chome,Chiyoda-ku,Tokyo",NULL

5,0.9534809148755441,122,690553821,Mitsubishi Chemical Corporation,"1-1,Marunouchi 1-chome,Chiyoda-kuTokyo 100-8251,Japan",100-8251

5,0.9534808247846166,123,690553821,Mitsubishi Chemical Corporation,"1-1-1 Marunouchi Chiyoda-Ku,Tokyo",NULL

5,0.9534807120607973,124,690553821,Mitsubishi Chemical Corporation,"1-1-1, Marunouchi, Chiyoda-ku, Tokyo, 100-8251, Japan",NULL

5,0.9534806970824978,125,690553821,Mitsubishi Chemical Corporation,"1-1-1, Marunouchi, Chiyoda-ku, Tokyo, 100-8252, Japan",NULL

5,0.9534806925558873,126,690553821,Mitsubishi Chemical Corporation,"1-1-1, Marunouchi, Chiyoda-ku,JP- Tokyo, 100-8251",NULL

5,0.9534805436196084,127,690553821,Mitsubishi Chemical Corporation,"1-1-1，MARUNOUCHI，CHIYODA-KU,TOKYO JAPAN 100-8251",NULL

7,0.9534806780875604,128,690553821,Mitsubishi Chemical Corporation,"Chiyoda-ku,Tokyo",1008251

7,0.9534806266072711,129,690553821,Mitsubishi Chemical Corporation,"Kandakonya-cho, Chiyoda-ku 7,Tokyo",1010035

5,0.9534807827201623,130,690553821,Mitsubishi Chemical Corporation,"Marunouchi 1-C,Chiyoda-Ku, Tokyo",1008253

5,0.9534807265606791,131,690553821,Mitsubishi Chemical Corporation,"Marunouchi 1-chome / Chiyoda-ku 1-1,Tokyo",1008251

5,0.9534809537015492,132,690553821,Mitsubishi Chemical Corporation,"Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251

5,0.953480552378388,133,690553821,Mitsubishi Chemical Corporation,"PALACE BUILDING 1-1, MARNOUCHI 1-CHOME,CHIYODA-KU,100-8251,TOKYO",NULL

5,0.9534807694715233,134,690553821,Mitsubishi Chemical CorporationChiyoda-Ku,"Marunouchi 1-Chome, 1-1,Tokyo",1008251

5,0.953480927314583,135,690553821,Mitsubishi Chemical CorporationCoating & Additives DivisionPerformance Additives Department,"1-1 Marunouchi 1-Chome,,Tokyo",1008251

22,0.9534811508866321,136,690553821,Mitsubishi Chemical CorporationDept.: CA-AA,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

22,0.9534811465965622,137,690553821,Mitsubishi Chemical CorporationDept.: DSD,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

22,0.9534811508866321,138,690553821,Mitsubishi Chemical CorporationDept.: FI-AC,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

22,0.9534811508866321,139,690553821,Mitsubishi Chemical CorporationDept.: IE-SS,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

5,0.9534810511163224,140,690553821,Mitsubishi Chemical CorporationDept.: Performance Chemicals,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251

5,0.953481053802868,141,690553821,Mitsubishi Chemical CorporationDept.: Performance Chemicals,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL

22,0.9534811678681626,142,690553821,Mitsubishi Chemical CorporationDept.: Performance Chemicals,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

22,0.9534811508866321,143,690553821,Mitsubishi Chemical CorporationDept.: SC-SM,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

5,0.9534807195683498,144,690553821,Mitsubishi Chemical CorporationDIALEAD,"1-1-1 Marunoichi,Chiyoda-Ku, Tokyo",1008251

46,1.0,145,690553821,Mitsubishi Chemical CorporationEnvironmental and Living solutionsSeparator and Aqua Chemical Dept.New Business Development Group,"10F Gate City ohsaki East Tower,,Tokyo 141-0032",NULL

22,0.9534811800233672,146,690553821,Mitsubishi Chemical CorporationGraphic Arts Department,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

22,0.9534807764007713,147,690553821,Mitsubishi Chemical CorporationGraphic Arts Department,"33-8 Shiba 5-chome, Minato-ku,JP-108-0014 Tokyo",NULL

7,0.9534805672620082,148,690553821,Mitsubishi Chemical CorporationInfrastructure Materials DivisionG-Tape Business GroupGroup Manager  Mr. Kazu Yoshioka,"7 Kanda Konyacho, Chiyoda-ku,Tokyo",1010035

22,0.9534804062079264,149,690553821,Mitsubishi Chemical CorporationMarketing Division,"Shiba 4-14-1 Minaot-ku,JP-108-0014 Tokyo",NULL

47,1.0,150,690553821,Mitsubishi Chemical CorporationMr. Shunsuke Sato,"Dai Nagoya Building, 28-12, Meieki,Nakamura-ku, Nagoya-shi, Aichi",4506419

22,0.9534809712402941,151,690553821,Mitsubishi Chemical CorporationOxo Alcohols and Acrylates Departme,"14-1, Shinba, 4-chome, Minato-ku,Tokyo",1040014

22,0.9534810486400741,152,690553821,Mitsubishi Chemical CorporationOxo Alcohols and Acrylates DepartmeChemical Derivatives Division,"14-1, Shinba, 4-chome, Minato-ku,JP-Tokyo 104-0014",NULL

5,0.9534809755618923,153,690553821,Mitsubishi Chemical CorporationPalace Building,"1-1, Marunouchi 1-Chome, Chiyoda-ku,JP-Tokyo 100-8251",NULL

5,0.9534805328367434,154,690553821,Mitsubishi Chemical CorporationPerformance Additives Unit,"Marunouchi,Chiyoda-Ku 1-1-1,Tokyo",1008251

5,0.953481048466579,155,690553821,Mitsubishi Chemical CorporationPerformance Chemicals Department,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251

5,0.9534810520731742,156,690553821,Mitsubishi Chemical CorporationPerformance Chemicals Department,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL

5,0.9534810501594706,157,690553821,Mitsubishi Chemical CorporationPerformance Polymers Department,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251

5,0.9534808222084897,158,690553821,Mitsubishi Chemical CorporationPerformance Products Division,"1-1 Maruniche 1-chome ,Chiyoda-ku,Tokyo",1008251

5,0.9534809526342936,159,690553821,Mitsubishi Chemical CorporationPerformance Products DivisionSpecialty Chemicals Department,"1-1 Marunouchi 1-chome ,Chiyoda-ku,JP-Tokyo 100-8251",NULL

22,0.9534811841346872,160,690553821,Mitsubishi Chemical CorporationPolyester & Nylon Dept.,"14-1, Shiba 4-Chome, Minato-ku,JP-Tokyo 108-0014",NULL

22,0.9534808695303864,161,690553821,Mitsubishi Chemical CorporationPolymer Solution GroupNew Polymer Dev. Group,"14-1, Shiba 4-chome,Minato-ku,,JP-108-0014 Tokyo",NULL

23,0.9534810300140644,162,690553821,Mitsubishi Chemical CorporationPPD DepartmentTechnical center,"1, Toho-cho,Yokkaichi, Mie",5108530

23,0.9534811501358699,163,690553821,Mitsubishi Chemical CorporationPPD DepartmentTechnology centerBioplastic group,"1,Toho-cho,,Yokkaichi, Mie",5108530

48,1.0,164,690553821,Mitsubishi Chemical CorporationProcessing-Technique Development CeSoarnol Department,"Ushiodori 3-10, Kurashiki-City,,Okayama",7128054

5,0.9534810292559437,165,690553821,Mitsubishi Chemical CorporationSales & Customer Relations Dept.,"1-1, Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251

5,0.953481045007192,166,690553821,Mitsubishi Chemical CorporationSales & Customer Relations Dept.Tokyo Sales Group 2,"1-1, Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL

5,0.9534810545757099,167,690553821,Mitsubishi Chemical CorporationSubstainable Resources Business Dev,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo",1008251

5,0.953481053766066,168,690553821,Mitsubishi Chemical CorporationSubstainable Resources Business DevPetrochemicals R&TD Division,"1-1 Marunouchi 1-chome, Chiyoda-ku,Tokyo 100-8251",NULL

22,0.9534811040533906,169,690553821,Mitsubishi Chemical CorporationSustainable Ressource Dept.,"14-1, Shiba 4-Chome, Minato-ku,Tokyo 108-0014",NULL

23,0.9534811381236754,170,690553821,Mitsubishi Chemical CorporationTechnology Center,"1 Toho-Cho,,Yokkaichi, Mie",5108530

23,0.9534811741602682,171,690553821,Mitsubishi Chemical CorporationTechnology CenterMr. Kadowaki,"1 Toho-Cho,,Yokkaichi, Mie",5108530

23,0.9534811741602682,172,690553821,Mitsubishi Chemical CorporationTechnology CenterMr. Zhang Tao,"1 Toho-Cho,,Yokkaichi, Mie",5108530

5,0.9534806741182347,173,690553821,Mitsubishi Chemical CorporationTokyo Sales GroupImaging Materials DepartmentChiyoda-ku,"1-1 Marunouchi 1-Chome,JP-Tokyo 100-8251",NULL

49,1.0,174,690553821,Mitsubishi Chemical CorporationTsuba Plant,"1000 Higashi-mamiana, Ushiku City,Ibaraki",3001295

23,0.9534805174978462,175,690553821,"Mitsubishi Chemical CorporationYokkaichi Plant, Polymers Lab.",",Yokkaichi",5108530

5,0.9534810184729661,176,690553821,Mitsubishi Chemical Holdings Corpor,"1-1, Marunouchi 1-Chome,Chiyoda-Ku, Tokyo",NULL

50,1.0,177,690553821,"MITSUBISHI CHEMICAL SYSTEMS, Inc.","Skytree East Tower, 1-1-2,,Tokyo",NULL

51,1.0,178,691197610,"Mitsubishi Chemical Eng. CorporationKyushi Operation, Engineering Div.","1-2 Shiroshi, Kurosaki,JP-Yahatanishi-ku, Kitakyushi-City",NULL

22,0.9534808307412534,179,691197610,Mitsubishi Chemical Eng. CorporationShin-Tamachi Building,"34-6, Shiba 5-chome, Minato-ku,JP-1080014 Tokyo",NULL

15,0.9534814349258898,180,691197610,Mitsubishi Chemical Engineering Corporation,NULL,NULL

5,0.9534801403127163,181,691197610,Mitsubishi Chemical Engineering Corporation,"2-2,Nihonbashi-Hongokucho 1-chome Chuo-ku,Tokyo,Japan",NULL

7,0.953480508274322,182,691197842,"Mitsubishi Shoji Plastics CorporatiKishimoto Bldg. 2-2-1,","Marunouchi, Chiyoda-ku,,JP-100-8350 Tokyo",NULL

7,0.9534806183847302,183,691197842,"Mitsubishi Shoji Plastics CorporatiKishimoto Bldg. 2-2-1,","Marunouchi, Chiyoda-ku,,Tokyo",1008350

52,1.0,184,691649669,Mitsubishi Engineering-Plastics,"1-9-2 Higashi-shinbashi Minato-ku,JP 105-0021 Tokyo",1050021

53,1.0,185,694112624,"Mitsubishi Kagaku Iatron, Inc.","13-1, Nishi-Goken-cho, Shinjuku-ku,JP-Tokyo 162-0812",NULL

5,0.9534809185925347,186,711231758,Mitsubishi Chemical Group Corporati,"1-1, Marunouchi 1-Chome, Chiyoda-ku,JP-100-8251 Tokyo",NULL

5,0.953480759903064,187,711231758,Mitsubishi Chemical Group Corporatiehem.Mitsubishi Chemical Holding Co,"1-1-1 Marunouchi, Chiyoda-ku,JP-Tokyo 100-8251",NULL

7,0.9534804399916998,188,717662735,"MITSUBISHI GAS CHEMICAL TRADING,INC","KANDA SQUARE 15/F, 2-2-1, KANDA-NIS,CHIYODA-KU, TOKYO 101-0054",NULL

24,0.9534814,189,785720798,Mitsubishi Chemical Carbon Fiber &Composites Inc.,"5900 88th Street,Sacramento",95828

24,0.9534814,190,785720798,Mitsubishi Chemical Carbon Fiber& Composites Inc.,"5900 88th Street,Sacramento",95828

54,1.0,191,864151507,Mitsubishi Chemical India Pvt. Ltd.F 33 Riico Ind. Area,"Epip, Neemrana, Alwar,Rajasthan",301705

55,1.0,192,914725101,Mitsubishi Chemical PolimerosDe Desempenho Ltd.aID Code: CNPJ 17.195.857/0001-0,"Rua Luiz Onofre de Amorim 1920,Atibaia - SP",12948-009

